Sequence,Character,Hex
"\eq",=,U+003D,1
"\eq",∼,U+223C,2
"\eq",∽,U+223D,3
"\eq",≈,U+2248,4
"\eq",≋,U+224B,5
"\eq",∻,U+223B,6
"\eq",∾,U+223E,7
"\eq",∿,U+223F,8
"\eq",≀,U+2240,9
"\eq",≃,U+2243,10
"\eq",⋍,U+22CD,11
"\eq",≂,U+2242,12
"\eq",≅,U+2245,13
"\eq",≌,U+224C,14
"\eq",≊,U+224A,15
"\eq",≡,U+2261,16
"\eq",≣,U+2263,17
"\eq",≐,U+2250,18
"\eq",≑,U+2251,19
"\eq",≒,U+2252,20
"\eq",≓,U+2253,21
"\eq",≔,U+2254,22
"\eq",≕,U+2255,23
"\eq",≖,U+2256,24
"\eq",≗,U+2257,25
"\eq",≘,U+2258,26
"\eq",≙,U+2259,27
"\eq",≚,U+225A,28
"\eq",≛,U+225B,29
"\eq",≜,U+225C,30
"\eq",≝,U+225D,31
"\eq",≞,U+225E,32
"\eq",≟,U+225F,33
"\eq",≍,U+224D,34
"\eq",≎,U+224E,35
"\eq",≏,U+224F,36
"\eq",≬,U+226C,37
"\eq",⋕,U+22D5,38
"\eq",＝,U+FF1D,39
"\eqn",≠,U+2260,1
"\eqn",≁,U+2241,2
"\eqn",≉,U+2249,3
"\eqn",≄,U+2244,4
"\eqn",≇,U+2247,5
"\eqn",≆,U+2246,6
"\eqn",≢,U+2262,7
"\eqn",≭,U+226D,8
"\=n",≠,U+2260,1
"\~",∼,U+223C,1
"\~",～,U+FF5E,2
"\~n",≁,U+2241,1
"\~~",≈,U+2248,1
"\~~n",≉,U+2249,1
"\~~~",≋,U+224B,1
"\:~",∻,U+223B,1
"\~-",≃,U+2243,1
"\~-n",≄,U+2244,1
"\-~",≂,U+2242,1
"\~=",≅,U+2245,1
"\~=n",≇,U+2247,1
"\~~-",≊,U+224A,1
"\==",≡,U+2261,1
"\==n",≢,U+2262,1
"\===",≣,U+2263,1
"\=",＝,U+FF1D,1
"\.=",≐,U+2250,1
"\.=.",≑,U+2251,1
"\:=",≔,U+2254,1
"\=:",≕,U+2255,1
"\=o",≗,U+2257,1
"\(=",≘,U+2258,1
"\and=",≙,U+2259,1
"\or=",≚,U+225A,1
"\*=",≛,U+225B,1
"\t=",≜,U+225C,1
"\def=",≝,U+225D,1
"\m=",≞,U+225E,1
"\?=",≟,U+225F,1
"\leq",<,U+003C,1
"\leq",≪,U+226A,2
"\leq",⋘,U+22D8,3
"\leq",≤,U+2264,4
"\leq",≦,U+2266,5
"\leq",≲,U+2272,6
"\leq",≶,U+2276,7
"\leq",≺,U+227A,8
"\leq",≼,U+227C,9
"\leq",≾,U+227E,10
"\leq",⊂,U+2282,11
"\leq",⊆,U+2286,12
"\leq",⋐,U+22D0,13
"\leq",⊏,U+228F,14
"\leq",⊑,U+2291,15
"\leq",⊰,U+22B0,16
"\leq",⊲,U+22B2,17
"\leq",⊴,U+22B4,18
"\leq",⋖,U+22D6,19
"\leq",⋚,U+22DA,20
"\leq",⋜,U+22DC,21
"\leq",⋞,U+22DE,22
"\leq",＜,U+FF1C,23
"\leqn",≮,U+226E,1
"\leqn",≰,U+2270,2
"\leqn",≨,U+2268,3
"\leqn",≴,U+2274,4
"\leqn",⋦,U+22E6,5
"\leqn",≸,U+2278,6
"\leqn",⊀,U+2280,7
"\leqn",⋨,U+22E8,8
"\leqn",⊄,U+2284,9
